kabupaten_kota;tahun;komoditas;produksi;luas_panen;produktivitas;
Lampung Tengah;2018;Kacang Tamnah;632.0983738;484.5;13.04640606;
Lampung Tengah;2018;Kedelai;14578.89479;10836.2;13.45388124;
Lampung Tengah;2018;Padi;525372.11;114756.51;45.7814646;
Lampung Tengah;2018;Padi Ladang;0;0;0;
Lampung Tengah;2018;Padi Sawah;0;0;0;
Lampung Tengah;2018;Ubijalar;2310.709951;106.4;217.1719879;
Lampung Tengah;2018;Ubikayu / Ketela Pohon;1464542.679;64560.1;226.849506;
Lampung Tengah;2019;Jagung;0;0;0;
Lampung Tengah;2019;Kacang Hijau;141.8301;147.7;9.602579553;
Lampung Tengah;2019;Kacang Tamnah;601.6188579;415;14.49683995;
Lampung Tengah;2019;Kedelai;2725;2068.9;13.17125042;
Lampung Tengah;2019;Padi;455234.05;98254.4;46.33217953;
Lampung Tengah;2019;Padi Ladang;0;0;0;
Lampung Tengah;2019;Padi Sawah;0;0;0;
Lampung Tengah;2019;Ubijalar;1452.617248;78.1;185.9945259;
Lampung Tengah;2019;Ubikayu / Ketela Pohon;1580277.808;61179.6;258.3014285;
Lampung Tengah;2020;Jagung;0;0;0;
Lampung Tengah;2020;Kacang Hijau;61;120;5.083333333;
Lampung Tengah;2020;Kacang Tamnah;471.0459156;297.7;15.82283895;
Lampung Tengah;2020;Kedelai;0;0;0;
Lampung Tengah;2020;Padi;599111.2;113890.72;52.60404008;
Lampung Tengah;2020;Padi Ladang;0;0;0;
Lampung Tengah;2020;Padi Sawah;0;0;0;
Lampung Tengah;2020;Ubijalar;2440.863928;156;156.4656364;
Lampung Tengah;2020;Ubikayu / Ketela Pohon;2095056.386;77110.7;271.6946398;
Lampung Tengah;2021;Jagung;0;0;0;
Lampung Tengah;2021;Kacang Hijau;236.5;259.8;9.103156274;
Lampung Tengah;2021;Kacang Tamnah;413.7348267;286.9;14.42087231;
Lampung Tengah;2021;Kedelai;77.5573056;53.4;14.52384;
Lampung Tengah;2021;Padi;489447.65;100290.55;48.80296798;
Lampung Tengah;2021;Padi Ladang;0;0;0;
Lampung Tengah;2021;Padi Sawah;0;0;0;
Lampung Tengah;2021;Ubijalar;1831.906785;87.9;208.4080529;
Lampung Tengah;2021;Ubikayu / Ketela Pohon;2208519.476;77038.1;286.6788609;
Lampung Tengah;2022;Jagung;0;0;0;
Lampung Tengah;2022;Kacang Hijau;129.1;135.1;9.55588453;
Lampung Tengah;2022;Kacang Tamnah;462.5036997;333.5;13.8681769;
Lampung Tengah;2022;Kedelai;177.88752;100;17.788752;
Lampung Tengah;2022;Padi;566601.47;101612.69;55.7608966;
Lampung Tengah;2022;Padi Ladang;0;0;0;
Lampung Tengah;2022;Padi Sawah;0;0;0;
Lampung Tengah;2022;Ubijalar;1757.527179;117.5;149.5767812;
Lampung Tengah;2022;Ubikayu / Ketela Pohon;3180332.453;100477.9;316.5205934;
Lampung Tengah;2023;Jagung;0;0;0;
Lampung Tengah;2023;Kacang Hijau;0;0;0;
Lampung Tengah;2023;Kacang Tamnah;0;0;0;
Lampung Tengah;2023;Kedelai;0;0;0;
Lampung Tengah;2023;Padi;608009.47;108129.91;56.2295363;
Lampung Tengah;2023;Padi Ladang;0;0;0;
Lampung Tengah;2023;Padi Sawah;0;0;0;
Lampung Tengah;2023;Ubijalar;0;0;0;
Lampung Tengah;2023;Ubikayu / Ketela Pohon;0;0;0;
Lampung Utara;2017;Jagung;206253.1782;40629.4;50.76451491;
Lampung Utara;2017;Kacang Hijau;0;91.9;0;
Lampung Utara;2017;Kacang Tamnah;336.7092402;274.9;12.24842635;
Lampung Utara;2017;Kedelai;216;162;13.33333333;
Lampung Utara;2017;Padi;250895;52582;47.71499753;
Lampung Utara;2017;Padi Ladang;0;0;0;
Lampung Utara;2017;Padi Sawah;0;0;0;
Lampung Utara;2017;Ubijalar;2165.176261;217;99.77770787;
Lampung Utara;2017;Ubikayu / Ketela Pohon;1279623.173;45374.2;282.0155889;
Lampung Utara;2018;Jagung;0;0;0;
Lampung Utara;2018;Kacang Hijau;112;120;9.333333333;
Lampung Utara;2018;Kacang Tamnah;327.469184;292.5;11.19552766;
Lampung Utara;2018;Kedelai;4471.581695;3484;12.83462025;
Lampung Utara;2018;Padi;83364.18;19277.16;43.24505269;
Lampung Utara;2018;Padi Ladang;0;0;0;
Lampung Utara;2018;Padi Sawah;0;0;0;
Lampung Utara;2018;Ubijalar;3965.870538;180.9;219.2299911;
Lampung Utara;2018;Ubikayu / Ketela Pohon;1244602.034;47597.3;261.4858477;
Lampung Utara;2019;Jagung;0;0;0;
Lampung Utara;2019;Kacang Hijau;90.132;94;9.588510638;
Lampung Utara;2019;Kacang Tamnah;135;330.9;4.079782412;
Lampung Utara;2019;Kedelai;5;4;12.5;
Lampung Utara;2019;Padi;61822.68;15080.38;40.99543911;
Lampung Utara;2019;Padi Ladang;0;0;0;
Lampung Utara;2019;Padi Sawah;0;0;0;
Lampung Utara;2019;Ubijalar;2970.466248;138;215.2511774;
Lampung Utara;2019;Ubikayu / Ketela Pohon;982731.3756;39440.6;249.1674507;
Lampung Utara;2020;Jagung;0;0;0;
Lampung Utara;2020;Kacang Hijau;158.2;176.7;8.953027731;
Lampung Utara;2020;Kacang Tamnah;606.7068489;411.1;14.75813303;
Lampung Utara;2020;Kedelai;1.440464518;1;14.40464518;
Lampung Utara;2020;Padi;75751.91;17133.37;44.21308242;
Lampung Utara;2020;Padi Ladang;0;0;0;
Lampung Utara;2020;Padi Sawah;0;0;0;
Lampung Utara;2020;Ubijalar;3422.454237;214.7;159.4063455;
Lampung Utara;2020;Ubikayu / Ketela Pohon;1055578.559;39768.8;265.4288184;
Lampung Utara;2021;Jagung;0;0;0;
Lampung Utara;2021;Kacang Hijau;39.2;77;5.090909091;
Lampung Utara;2021;Kacang Tamnah;529.9227307;345.2;15.35117992;
Lampung Utara;2021;Kedelai;0;0;0;
Lampung Utara;2021;Padi;74260.22;16940.92;43.83482125;
Lampung Utara;2021;Padi Ladang;0;0;0;
Lampung Utara;2021;Padi Sawah;0;0;0;
Lampung Utara;2021;Ubijalar;2824.199459;138.5;203.9133183;
Lampung Utara;2021;Ubikayu / Ketela Pohon;1039335.395;39425.6;263.6194237;
Lampung Utara;2022;Jagung;0;0;0;
Lampung Utara;2022;Kacang Hijau;37.7;47.2;7.987288136;
Lampung Utara;2022;Kacang Tamnah;321.0482718;219.6;14.61968451;
Lampung Utara;2022;Kedelai;14.84926848;7.4;20.06657903;
Lampung Utara;2022;Padi;63452.76;13705.47;46.29739805;
Lampung Utara;2022;Padi Ladang;0;0;0;
Lampung Utara;2022;Padi Sawah;0;0;0;
Lampung Utara;2022;Ubijalar;1827.077893;107.4;170.1189844;
Lampung Utara;2022;Ubikayu / Ketela Pohon;913545.3782;37347.7;244.6055254;
Lampung Utara;2023;Jagung;0;0;0;
Lampung Utara;2023;Kacang Hijau;0;0;0;
Lampung Utara;2023;Kacang Tamnah;0;0;0;
Lampung Utara;2023;Kedelai;0;0;0;
Lampung Utara;2023;Padi;72390.72;17834.92;40.58931579;
Lampung Utara;2023;Padi Ladang;0;0;0;
Lampung Utara;2023;Padi Sawah;0;0;0;
Lampung Utara;2023;Ubijalar;0;0;0;
Lampung Utara;2023;Ubikayu / Ketela Pohon;0;0;0;
Way Kanan;2017;Jagung;139718.8498;28883.3;48.37357566;
Way Kanan;2017;Kacang Hijau;0;146;0;
Way Kanan;2017;Kacang Tamnah;954.1898207;676.4;14.10688676;
Way Kanan;2017;Kedelai;24;17;14.11764706;
Way Kanan;2017;Padi;231517;45167.1;51.25788461;
Way Kanan;2017;Padi Ladang;0;0;0;
Way Kanan;2017;Padi Sawah;0;0;0;
Way Kanan;2017;Ubijalar;1330.030067;133.8;99.40433984;
Way Kanan;2017;Ubikayu / Ketela Pohon;295811.4299;10087.9;293.2339039;
Way Kanan;2018;Jagung;0;0;0;
Way Kanan;2018;Kacang Hijau;87;101;8.613861386;
Way Kanan;2018;Kacang Tamnah;449.8242144;335.5;13.40757718;
Way Kanan;2018;Kedelai;5870.673888;4835;12.14203493;
Way Kanan;2018;Padi;95255.86;19121.79;49.81534679;
Way Kanan;2018;Padi Ladang;0;0;0;
