komoditas,tanggal,harga pangan
Beras,01/01/2018,-
Daging Ayam,01/01/2018,-
Daging Sapi,01/01/2018,-
Telur Ayam,01/01/2018,-
Bawang Merah,01/01/2018,-
Bawang Putih,01/01/2018,-
Cabai Merah Besar,01/01/2018,-
Cabai Merah Keriting,01/01/2018,-
Cabai Rawit Hijau,01/01/2018,-
Cabai Rawit Merah,01/01/2018,-
Minyak Goreng,01/01/2018,-
Gula Pasir,01/01/2018,-
"Cabai Merah Keriting,15/02/2018,""36,650"""
"Cabai Rawit Hijau,15/02/2018,""35,400"""
"Cabai Rawit Merah,15/02/2018,""43,900"""
"Minyak Goreng,15/02/2018,""12,800"""
"Gula Pasir,15/02/2018,""12,600"""
Beras,16/02/2018,-
Daging Ayam,16/02/2018,-
Daging Sapi,16/02/2018,-
Telur Ayam,16/02/2018,-
Bawang Merah,16/02/2018,-
Bawang Putih,16/02/2018,-
Cabai Merah Besar,16/02/2018,-
Cabai Merah Keriting,16/02/2018,-
Cabai Rawit Hijau,16/02/2018,-
Cabai Rawit Merah,16/02/2018,-
Minyak Goreng,16/02/2018,-
Gula Pasir,16/02/2018,-
"Beras,19/02/2018,""12,200"""
"Daging Ayam,19/02/2018,""30,600"""
"Daging Sapi,19/02/2018,""110,000"""
"Telur Ayam,19/02/2018,""21,550"""
"Bawang Merah,19/02/2018,""21,000"""
"Bawang Putih,19/02/2018,""30,250"""
"Cabai Merah Besar,19/02/2018,""45,500"""
"Cabai Merah Keriting,19/02/2018,""33,400"""
"Cabai Rawit Hijau,19/02/2018,""32,650"""
"Cabai Rawit Merah,19/02/2018,""42,750"""
"Minyak Goreng,19/02/2018,""13,100"""
"Gula Pasir,19/02/2018,""12,800"""
"Beras,20/02/2018,""12,200"""
"Daging Ayam,20/02/2018,""30,600"""
"Daging Sapi,20/02/2018,""110,000"""
"Telur Ayam,20/02/2018,""21,550"""
"Bawang Merah,20/02/2018,""21,000"""
"Bawang Putih,20/02/2018,""30,250"""
"Cabai Merah Besar,20/02/2018,""45,750"""
"Cabai Merah Keriting,20/02/2018,""33,650"""
"Cabai Rawit Hijau,20/02/2018,""32,750"""
"Cabai Rawit Merah,20/02/2018,""43,650"""
"Minyak Goreng,20/02/2018,""13,100"""
"Gula Pasir,20/02/2018,""12,800"""
"Beras,21/02/2018,""12,200"""
"Daging Ayam,21/02/2018,""30,500"""
"Daging Sapi,21/02/2018,""110,000"""
"Telur Ayam,21/02/2018,""21,550"""
"Bawang Merah,21/02/2018,""21,750"""
"Bawang Putih,21/02/2018,""30,400"""
"Cabai Merah Besar,21/02/2018,""45,400"""
"Cabai Merah Keriting,21/02/2018,""34,150"""
"Cabai Rawit Hijau,21/02/2018,""32,900"""
"Cabai Rawit Merah,21/02/2018,""44,400"""
"Minyak Goreng,21/02/2018,""13,100"""
"Gula Pasir,21/02/2018,""12,800"""
"Beras,22/02/2018,""12,150"""
"Daging Ayam,22/02/2018,""29,600"""
"Daging Sapi,22/02/2018,""110,000"""
"Telur Ayam,22/02/2018,""21,550"""
